"sample_id","label"
"TCGA-ES-A2HS-01","Tumor"
"TCGA-GJ-A3OU-01","Tumor"
"TCGA-UB-A7MF-01","Tumor"
"TCGA-DD-A4NO-01","Tumor"
"TCGA-DD-AAD5-01","Tumor"
"TCGA-2Y-A9H6-01","Tumor"
"TCGA-CC-A9FS-01","Tumor"
"TCGA-DD-A115-01","Tumor"
"TCGA-DD-AADM-01","Tumor"
"TCGA-BC-A3KG-01","Tumor"
"TCGA-RC-A7S9-01","Tumor"
"TCGA-DD-AADF-01","Tumor"
"TCGA-EP-A3RK-01","Tumor"
"TCGA-DD-AAEG-01","Tumor"
"TCGA-CC-A8HS-01","Tumor"
"TCGA-G3-AAUZ-01","Tumor"
"TCGA-DD-AAW0-01","Tumor"
"TCGA-5R-AA1C-01","Tumor"
"TCGA-CC-A9FV-01","Tumor"
"TCGA-DD-AAE1-01","Tumor"
"TCGA-G3-A3CH-01","Tumor"
"TCGA-CC-A1HT-01","Tumor"
"TCGA-DD-AAE0-01","Tumor"
"TCGA-CC-A7IJ-01","Tumor"
"TCGA-DD-AADG-01","Tumor"
"TCGA-DD-AADN-01","Tumor"
"TCGA-G3-A3CI-01","Tumor"
"TCGA-RC-A6M4-01","Tumor"
"TCGA-WX-AA44-01","Tumor"
"TCGA-G3-A3CK-01","Tumor"
"TCGA-DD-AADL-01","Tumor"
"TCGA-FV-A4ZQ-01","Tumor"
"TCGA-DD-AACO-01","Tumor"
"TCGA-DD-A4NE-01","Tumor"
"TCGA-G3-A25U-01","Tumor"
"TCGA-2Y-A9HB-01","Tumor"
"TCGA-DD-AAVW-01","Tumor"
"TCGA-DD-A4NV-01","Tumor"
"TCGA-DD-A3A7-01","Tumor"
"TCGA-CC-A5UE-01","Tumor"
"TCGA-DD-AADO-01","Tumor"
"TCGA-LG-A6GG-01","Tumor"
"TCGA-EP-A12J-01","Tumor"
"TCGA-BW-A5NQ-01","Tumor"
"TCGA-BC-A3KF-01","Tumor"
"TCGA-UB-A7MB-01","Tumor"
"TCGA-DD-A4NJ-01","Tumor"
"TCGA-DD-AADQ-01","Tumor"
"TCGA-EP-A26S-01","Tumor"
"TCGA-DD-AADR-01","Tumor"
"TCGA-DD-A1EH-01","Tumor"
"TCGA-DD-A1EE-01","Tumor"
"TCGA-DD-AAE6-01","Tumor"
"TCGA-WX-AA47-01","Tumor"
"TCGA-DD-A3A3-01","Tumor"
"TCGA-CC-5261-01","Tumor"
"TCGA-DD-AAE9-01","Tumor"
"TCGA-RG-A7D4-01","Tumor"
"TCGA-ED-A8O5-01","Tumor"
"TCGA-ED-A5KG-01","Tumor"
"TCGA-MI-A75C-01","Tumor"
"TCGA-DD-AAW1-01","Tumor"
"TCGA-DD-A1EI-01","Tumor"
"TCGA-DD-A1EJ-01","Tumor"
"TCGA-DD-AAD0-01","Tumor"
"TCGA-DD-AAEE-01","Tumor"
"TCGA-DD-AAD8-01","Tumor"
"TCGA-DD-A4NS-01","Tumor"
"TCGA-DD-A39V-01","Tumor"
"TCGA-G3-A25T-01","Tumor"
"TCGA-CC-A8HT-01","Tumor"
"TCGA-CC-A5UC-01","Tumor"
"TCGA-2Y-A9GV-01","Tumor"
"TCGA-BC-A10Z-01","Tumor"
"TCGA-FV-A4ZP-01","Tumor"
"TCGA-DD-AACK-01","Tumor"
"TCGA-YA-A8S7-01","Tumor"
"TCGA-CC-A7II-01","Tumor"
"TCGA-DD-AACS-01","Tumor"
"TCGA-DD-AADY-01","Tumor"
"TCGA-G3-A5SM-01","Tumor"
"TCGA-CC-A7IE-01","Tumor"
"TCGA-DD-A4NP-01","Tumor"
"TCGA-DD-AACH-01","Tumor"
"TCGA-2Y-A9H8-01","Tumor"
"TCGA-FV-A495-01","Tumor"
"TCGA-RC-A7SH-01","Tumor"
"TCGA-K7-A5RF-01","Tumor"
"TCGA-3K-AAZ8-01","Tumor"
"TCGA-DD-AAE3-01","Tumor"
"TCGA-DD-AAVY-01","Tumor"
"TCGA-DD-AADC-01","Tumor"
"TCGA-BC-A217-01","Tumor"
"TCGA-ZP-A9D2-01","Tumor"
"TCGA-DD-AAEH-01","Tumor"
"TCGA-DD-AACA-01","Tumor"
"TCGA-DD-AADJ-01","Tumor"
"TCGA-ED-A459-01","Tumor"
"TCGA-DD-AAVV-01","Tumor"
"TCGA-DD-AAVU-01","Tumor"
"TCGA-G3-A3CH-11","Normal"
"TCGA-FV-A3R2-11","Normal"
"TCGA-DD-A3A2-11","Normal"
"TCGA-BC-A10T-11","Normal"
"TCGA-DD-A3A6-11","Normal"
"TCGA-FV-A2QR-11","Normal"
"TCGA-DD-A1EG-11","Normal"
"TCGA-DD-A39X-11","Normal"
"TCGA-DD-A119-11","Normal"
"TCGA-EP-A3RK-11","Normal"
"TCGA-DD-A11B-11","Normal"
"TCGA-BC-A10Y-11","Normal"
"TCGA-FV-A3I1-11","Normal"
"TCGA-DD-A11A-11","Normal"
"TCGA-DD-A116-11","Normal"
"TCGA-EP-A12J-11","Normal"
"TCGA-BD-A2L6-11","Normal"
"TCGA-DD-A114-11","Normal"
"TCGA-DD-A39Z-11","Normal"
"TCGA-BC-A10X-11","Normal"
"TCGA-DD-A11D-11","Normal"
"TCGA-DD-A118-11","Normal"
"TCGA-DD-A1EE-11","Normal"
"TCGA-DD-A1EB-11","Normal"
"TCGA-BC-A10W-11","Normal"
"TCGA-BC-A10R-11","Normal"
"TCGA-DD-A1EI-11","Normal"
"TCGA-DD-A113-11","Normal"
"TCGA-DD-A1EJ-11","Normal"
"TCGA-DD-A11C-11","Normal"
"TCGA-BC-A10Q-11","Normal"
"TCGA-DD-A39W-11","Normal"
"TCGA-BD-A3EP-11","Normal"
"TCGA-ES-A2HT-11","Normal"
"TCGA-BC-A216-11","Normal"
"TCGA-DD-A3A4-11","Normal"
