"","TCGA-ES-A2HS-01","TCGA-GJ-A3OU-01","TCGA-UB-A7MF-01","TCGA-DD-A4NO-01","TCGA-DD-AAD5-01","TCGA-2Y-A9H6-01","TCGA-CC-A9FS-01","TCGA-DD-A115-01","TCGA-DD-AADM-01","TCGA-BC-A3KG-01","TCGA-RC-A7S9-01","TCGA-DD-AADF-01","TCGA-EP-A3RK-01","TCGA-DD-AAEG-01","TCGA-CC-A8HS-01","TCGA-G3-AAUZ-01","TCGA-DD-AAW0-01","TCGA-5R-AA1C-01","TCGA-CC-A9FV-01","TCGA-DD-AAE1-01","TCGA-G3-A3CH-01","TCGA-CC-A1HT-01","TCGA-DD-AAE0-01","TCGA-CC-A7IJ-01","TCGA-DD-AADG-01","TCGA-DD-AADN-01","TCGA-G3-A3CI-01","TCGA-RC-A6M4-01","TCGA-WX-AA44-01","TCGA-G3-A3CK-01","TCGA-DD-AADL-01","TCGA-FV-A4ZQ-01","TCGA-DD-AACO-01","TCGA-DD-A4NE-01","TCGA-G3-A25U-01","TCGA-2Y-A9HB-01","TCGA-DD-AAVW-01","TCGA-DD-A4NV-01","TCGA-DD-A3A7-01","TCGA-CC-A5UE-01","TCGA-DD-AADO-01","TCGA-LG-A6GG-01","TCGA-EP-A12J-01","TCGA-BW-A5NQ-01","TCGA-BC-A3KF-01","TCGA-UB-A7MB-01","TCGA-DD-A4NJ-01","TCGA-DD-AADQ-01","TCGA-EP-A26S-01","TCGA-DD-AADR-01","TCGA-DD-A1EH-01","TCGA-DD-A1EE-01","TCGA-DD-AAE6-01","TCGA-WX-AA47-01","TCGA-DD-A3A3-01","TCGA-CC-5261-01","TCGA-DD-AAE9-01","TCGA-RG-A7D4-01","TCGA-ED-A8O5-01","TCGA-ED-A5KG-01","TCGA-MI-A75C-01","TCGA-DD-AAW1-01","TCGA-DD-A1EI-01","TCGA-DD-A1EJ-01","TCGA-DD-AAD0-01","TCGA-DD-AAEE-01","TCGA-DD-AAD8-01","TCGA-DD-A4NS-01","TCGA-DD-A39V-01","TCGA-G3-A25T-01","TCGA-CC-A8HT-01","TCGA-CC-A5UC-01","TCGA-2Y-A9GV-01","TCGA-BC-A10Z-01","TCGA-FV-A4ZP-01","TCGA-DD-AACK-01","TCGA-YA-A8S7-01","TCGA-CC-A7II-01","TCGA-DD-AACS-01","TCGA-DD-AADY-01","TCGA-G3-A5SM-01","TCGA-CC-A7IE-01","TCGA-DD-A4NP-01","TCGA-DD-AACH-01","TCGA-2Y-A9H8-01","TCGA-FV-A495-01","TCGA-RC-A7SH-01","TCGA-K7-A5RF-01","TCGA-3K-AAZ8-01","TCGA-DD-AAE3-01","TCGA-DD-AAVY-01","TCGA-DD-AADC-01","TCGA-BC-A217-01","TCGA-ZP-A9D2-01","TCGA-DD-AAEH-01","TCGA-DD-AACA-01","TCGA-DD-AADJ-01","TCGA-ED-A459-01","TCGA-DD-AAVV-01","TCGA-DD-AAVU-01","TCGA-G3-A3CH-11","TCGA-FV-A3R2-11","TCGA-DD-A3A2-11","TCGA-BC-A10T-11","TCGA-DD-A3A6-11","TCGA-FV-A2QR-11","TCGA-DD-A1EG-11","TCGA-DD-A39X-11","TCGA-DD-A119-11","TCGA-EP-A3RK-11","TCGA-DD-A11B-11","TCGA-BC-A10Y-11","TCGA-FV-A3I1-11","TCGA-DD-A11A-11","TCGA-DD-A116-11","TCGA-EP-A12J-11","TCGA-BD-A2L6-11","TCGA-DD-A114-11","TCGA-DD-A39Z-11","TCGA-BC-A10X-11","TCGA-DD-A11D-11","TCGA-DD-A118-11","TCGA-DD-A1EE-11","TCGA-DD-A1EB-11","TCGA-BC-A10W-11","TCGA-BC-A10R-11","TCGA-DD-A1EI-11","TCGA-DD-A113-11","TCGA-DD-A1EJ-11","TCGA-DD-A11C-11","TCGA-BC-A10Q-11","TCGA-DD-A39W-11","TCGA-BD-A3EP-11","TCGA-ES-A2HT-11","TCGA-BC-A216-11","TCGA-DD-A3A4-11","TCGA-DD-A3A5-11","TCGA-DD-A1EH-11","TCGA-DD-A1EC-11","TCGA-EP-A26S-11","TCGA-DD-A3A3-11","TCGA-BC-A10U-11","TCGA-BC-A110-11","TCGA-DD-A39V-11","TCGA-DD-A3A8-11","TCGA-DD-A1EL-11","TCGA-DD-A3A1-11","TCGA-FV-A23B-11","TCGA-BC-A10Z-11","TCGA-FV-A3I0-11"
"XIST",1.7832,0.7573,0.6399,1.0458,1.0135,13.493,0.72,0.9447,0,14.051,12.0133,8.7729,0,12.0224,0,1.506,0,0,0,0,0.7083,4.0486,9.7965,2.6924,0,0,3.6788,10.642,8.9313,0.91,0,3.8253,0,14.0066,14.43,2.0623,0.7688,10.3716,0,0.6156,0,13.29,0,3.6173,12.8823,0.8447,14.6397,0,0,0,0,0,11.3227,11.1274,1.0391,0,1.7073,6.8054,13.4187,13.4331,2.303,0,0.4923,11.2432,12.2421,0,9.8147,13.4909,3.1076,7.8006,7.9472,2.2436,13.3879,13.0813,2.8446,0.3372,2.5185,1.2389,2.025,13.4695,11.235,0,0,0.1791,8.0519,6.3914,1.1857,1.6323,0,0,0,2.1044,11.6437,0,0,0,8.0386,0,0,0,3.3114,1.5376,11.1543,5.9959,7.4507,0,0,11.3519,0,3.6741,0,5.1426,13.0507,0,0.8568,0,2.5113,0,13.0271,12.6378,11.9949,12.6691,0,11.949,6.1217,12.8298,0,12.0853,12.1781,0,12.8825,10.7112,11.3696,0,12.1088,0,11.1542,2.1836,12.8411,0,0,6.1553,11.9145,0,2.6633,0.6383,5.156,12.8669,11.267,10.5787
"RPS4Y1",13.9409,11.0681,12.5429,12.2118,12.6427,2.23,11.7207,11.7389,12.9127,0,1.1382,0,12.44,1.6129,12.6475,13.2369,9.4813,12.0509,11.6315,13.2772,11.5785,12.2355,0,9.4239,9.148,13.8697,12.406,0,2.5096,12.5118,7.1347,13.2968,13.2809,1.112,0,11.9359,11.9853,9.312,8.2321,7.0551,9.935,0,7.4242,9.1041,0,12.313,1.3712,12.3601,12.2508,13.1549,8.7253,11.3283,1.5138,1.7173,13.405,12.1512,12.0502,8.8856,0,0,13.4682,12.0454,12.1578,1.2022,1.7344,12.4597,1.5297,3.4342,13.0766,0,7.8958,9.8544,0,1.1979,12.948,12.3439,12.3888,14.6727,10.815,0.9438,9.2458,9.1598,11.7407,11.2537,0,0.8379,7.5329,11.2402,12.5719,13.0387,11.8299,11.9994,0,8.3453,12.4042,13.0223,1.0562,7.4063,11.4112,14.2219,11.5601,11.3745,0,11.7921,0,12.1927,12.0048,2.2372,10.8723,11.6386,11.5203,12.0116,1.5119,11.1591,11.794,11.3914,11.8839,11.5427,0,0,0,0,11.5364,0,12.0953,1.2505,11.7441,0,0,11.7406,5.1872,0,2.2028,11.931,0.9527,12.2361,0,12.1078,0,12.0173,12.3225,11.8719,0,11.8203,11.8886,11.9188,13.1011,1.1966,0,1.4864
"CYP1A2",7.6411,2.7053,0.5588,4.2667,1.3382,3.0674,13.4102,12.6072,8.8123,2.8687,0,0.8891,9.5776,9.0146,0,8.0403,7.7799,10.5461,0,0,2.8755,2.0886,5.5794,1.1439,10.6534,2.0308,4.3335,15.2846,6.7885,9.4688,8.9907,4.2688,4.062,0.6606,0,9.7734,3.8453,11.2761,4.8148,6.6283,0.9133,2.4606,14.5324,6.387,6.2887,5.4618,0,5.4408,15.17,5.9231,0,15.641,4.378,1.7173,5.2042,5.4428,13.3082,2.4396,1.0573,0,15.5088,14.3272,10.0476,5.3346,9.3385,9.257,5.503,12.9269,9.9402,8.5683,6.3192,10.9178,3.7751,9.6374,1.8953,7.8882,8.5924,1.0562,2.025,2.7097,5.3524,2.3182,9.1556,5.3969,0,11.6595,1.1857,12.821,11.7001,9.8295,12.5984,7.6187,11.9171,4.877,14.8552,7.9941,2.6775,2.7436,5.1405,2.7868,14.9747,12.5863,14.4006,14.6509,15.3493,10.9162,14.3238,15.5015,15.0932,15.4418,13.1216,15.4636,14.7454,13.601,14.3989,13.2293,12.161,12.2462,14.9993,15.3398,15.188,14.7899,12.0039,14.7993,14.7971,13.9113,14.3424,16.2304,12.5804,15.1608,14.483,15.4768,14.2085,12.2741,12.7826,13.13,14.7798,14.8258,14.2402,14.5747,13.2601,12.6402,13.4756,12.3589,13.6819,14.1407,14.8511,14.6486,13.1909,14.9012
"GSTT1",12.7023,9.9921,12.1721,11.4397,5.5021,0,3.0214,11.5629,11.5344,9.9948,11.034,0,1.0969,11.0024,0,11.7569,0,11.3278,13.1319,0,10.9317,0.3461,0,9.9874,0,0,11.3776,12.6818,10.4261,11.6988,11.4771,9.7871,11.5795,11.2843,0.6558,12.0847,11.6759,10.1679,4.2823,0,11.4364,10.914,11.9204,10.3479,12.2054,0,11.328,0,11.1193,11.2517,11.1773,10.1653,1.1616,0,2.0582,9.8054,0,1.3074,11.2062,9.4666,10.8741,0,11.6059,10.7338,0,11.2006,0,10.6526,0.9574,11.2893,11.1558,9.8804,10.8972,11.3649,11.9474,10.802,9.7302,8.9239,0,11.1869,12.0892,0.8459,11.2716,0,11.2832,12.4331,1.5421,12.4665,0,12.3718,11.6022,0,0.5843,9.7733,11.401,12.2531,1.6594,0,10.248,12.9808,11.3847,11.4508,12.7835,0,13.0524,11.2772,11.603,0.8015,0,1.063,11.2222,11.1203,12.3275,0,11.6748,11.213,0,11.2093,11.7953,0,11.4492,11.3582,11.1041,0,11.4071,11.0602,12.2159,11.3304,12.0501,11.2621,11.371,1.6932,11.8959,12.2384,11.2961,12.2283,11.7557,12.6155,10.7743,11.8048,2.6456,12.0868,11.2715,2.3394,12.989,0,13.2944,2.2857,11.3211,12.5624
"GSTM1",11.6599,10.2395,10.0009,1.4981,9.0212,6.7751,2.2879,12.268,12.7339,2.7887,9.2324,12.2301,13.2027,1.8373,2.048,1.506,2.3155,13.5352,3.662,1.5558,11.8956,1.7824,6.8989,8.5592,2.6935,2.493,3.2035,14.1397,0.8339,13.6772,2.821,9.763,8.9455,5.1636,12.037,1.7606,0.7688,2.2829,2.0899,2.3944,5.9324,13.0862,13.8056,9.2805,12.2222,11.6857,12.9068,0,14.1866,10.0333,5.6523,0.8427,3.0742,10.2317,9.6468,0,3.6239,4.5313,5.1753,7.7231,1.6018,1.9991,0.4923,1.2022,2.8875,3.6196,1.5297,2.206,2.2532,9.2054,2.7007,1.8173,1.823,2.007,0,9.4399,1.5962,0.6226,1.3419,1.5096,2.7428,7.7192,2.8799,10.5395,2.5117,11.634,3.7811,13.0652,0,11.6474,3.4858,9.2269,1.9985,11.4324,11.9872,2.165,1.6594,11.0989,1.5927,3.0663,13.0699,2.3361,13.3808,12.8356,13.6472,1.6124,14.405,2.4483,12.9023,14.3312,13.2146,4.6233,1.9175,12.6606,3.053,13.4797,10.9949,12.4294,13.7695,14.1611,13.6398,13.6721,3.197,1.5756,4.1844,13.5414,1.2196,1.0154,1.4292,2.9618,13.9879,1.3157,3.4476,12.551,13.3824,11.7169,1.5726,13.607,12.4948,13.9445,11.7271,5.3231,13.7587,2.3394,1.0445,12.9242,0,12.3197,2.6378,0.9267
"INS-IGF2",6.4428,1.9111,2.4491,0,0,6.5379,3.149,2.9273,0,0.8383,0,0,0,0,6.8893,0,7.387,0,1.4451,8.5785,3.9697,0,4.9261,0.4887,4.8476,0,3.0952,7.6855,2.0488,11.8989,1.263,6.5731,4.5234,2.3189,3.3027,0,4.5994,8.689,0,0.6156,5.7863,0,12.9569,0.9761,0,0,1.7571,0,8.3691,1.8309,7.3375,2.5272,0,1.1004,0.9786,0,0,0,3.9332,3.9517,0,10.7015,9.302,5.9264,0,0,0,10.4824,0,1.2842,0.6881,4.4847,11.5878,0,0,0.676,5.4511,4.1813,0,0,6.1937,3.8235,9.8439,3.2235,4.3243,0,5.0461,11.0591,3.6781,0,10.6176,0.868,0,5.6554,4.3416,6.4325,6.0348,0,1.8266,0,11.2191,8.093,11.2042,12.2682,10.0146,11.3452,11.3262,11.7167,13.2875,12.5641,12.8575,12.8242,10.7821,12.7551,12.4512,12.8058,11.0755,11.3882,11.9166,12.9915,11.6054,12.1464,12.2792,13.1039,11.7303,12.333,12.4319,12.7554,12.0163,13.5076,13.1045,12.0653,12.171,8.8041,11.0619,10.4075,10.3661,11.5614,12.861,12.8683,10.3866,12.2679,9.612,7.2617,11.1701,11.8091,7.7648,11.6081,9.9334,11.8834
"REG3A",0,4.9064,0,0,15.6004,12.3122,0,0.8349,0,0.4792,0,1.435,17.2012,5.6556,0.6064,0,6.6584,6.8305,0,0,0,3.3908,4.4467,0,12.7888,0,0,9.0309,0,15.7116,2.2428,10.4731,0,0,0,2.8014,6.2405,0.5688,5.817,1.6456,0,1.0882,2.4695,12.7545,0,0,0.8427,13.1628,8.5212,1.8309,0.4895,9.4819,0.6947,10.9837,14.2164,0,14.9504,8.4228,0,1.3294,3.2956,18.1718,0.8586,8.688,16.991,13.0201,3.5084,13.575,10.8994,0,10.6356,1.4237,0,0,0,2.9227,2.599,12.0898,6.869,0,6.5963,0,19.5473,8.9586,0,6.877,0,0,0,0,9.7242,4.6866,0.999,0,2.7323,12.3616,0,6.8448,9.3131,0.7971,0,0,0,0,6.2067,0,1.5224,0,1.4076,6.3887,0,0,0,0,0,0,0,0,1.0146,0,0,0,2.1704,0,2.1494,1.2505,0,0,4.0705,0,0,0,2.4606,1.1484,0,1.7539,0,0,0,0,0,0,0,0,0,1.4165,4.7544,4.7806,0,0
"CYP3A4",8.5072,10.1729,1.7507,13.0928,1.603,12.5277,14.6784,9.8763,10.6367,6.0787,5.0887,10.1266,12.7691,12.49,2.5117,10.0785,13.4632,17.032,2.2887,5.5716,10.0293,4.1324,8.9172,6.7421,17.7503,1.3466,14.3739,19.0562,12.641,15.7162,12.866,8.2273,8.2003,11.2506,15.2085,12.3906,14.9601,12.104,8.5064,8.3612,4.4726,9.719,18.0253,8.1783,16.9389,16.1893,5.3737,3.7877,18.0567,8.568,2.0814,16.4435,11.0491,0,10.1063,7.5918,16.7352,8.8675,6.8664,3.0108,7.1019,18.6958,12.1144,7.3599,12.5244,14.7973,10.5484,16.3499,10.9304,12.9569,6.6704,12.9328,10.462,12.7298,4.5084,10.635,11.3172,0,10.7045,7.6341,12.0075,5.3246,17.8012,14.2449,8.787,14.0289,5.867,16.3013,10.141,18.1601,16.8782,9.9457,11.1424,11.8356,16.4351,13.2571,9.3722,10.4116,11.1488,6.3072,16.7222,17.4673,17.5884,16.603,17.8288,16.099,15.5469,17.1178,15.541,16.2063,15.5731,17.3489,17.8364,14.0842,17.1841,14.7009,14.6495,15.4607,15.9343,17.3959,16.1228,17.3871,16.4261,17.2429,16.5709,17.8674,15.7021,17.3485,17.0915,15.7433,17.6992,17.8662,15.8556,18.1454,15.6834,17.1443,17.4638,16.6073,16.6554,17.0596,16.7066,16.7257,17.614,15.3312,16.6064,15.7184,15.4688,16.3547,16.4309,17.3546
"HAMP",4.8765,8.6684,7.6619,2.8243,3.4839,8.4881,2.7709,3.9901,8.631,7.3962,5.4475,5.8387,4.2214,13.8718,5.7767,9.1162,11.4835,0,0,5.1271,9.4902,5.6459,8.8456,4.8889,8.2198,8.3918,9.8637,0,8.1941,3.1556,2.6166,1.3599,8.7707,5.6871,3.6449,5.1791,4.7942,12.3337,9.6577,1.6456,7.4441,10.2272,0.6483,2.4201,1.5651,5.6484,1.7571,16.1194,1.2148,6.4161,3.4191,1.577,0.6947,7.3529,5.4676,7.3159,0,3.3001,7.3597,1.5932,1.8929,1.7647,11.0007,2.9078,1.7344,6.7549,6.2924,11.3009,14.8095,9.5917,4.77,11.7135,12.2838,5.7096,5.2197,2.382,8.4701,6.5014,5.182,0.9438,12.3518,6.9238,11.1964,7.3549,10.7314,12.4923,4.6565,13.4446,5.0004,10.6157,3.0254,8.4513,3.0857,8.2961,10.2493,3.1441,6.4841,10.673,10.1927,3.5016,15.3793,12.6206,13.0923,15.5813,9.4737,11.9281,13.8633,14.2709,13.872,12.2006,13.5036,14.8617,14.194,14.5793,13.8906,13.1627,13.982,12.7825,14.5788,13.5454,12.0008,13.769,14.4453,12.0963,12.6178,13.6625,14.1295,12.858,11.2554,13.1551,13.0054,14.3489,9.3908,12.7149,13.5643,12.2359,14.8875,14.2334,14.0319,13.0697,16.3384,14.6497,15.8587,16.4293,13.8442,10.3741,16.0175,13.8534,13.5242,15.2175
"CPLX2",0,6.5679,7.6381,13.2652,10.3872,3.0674,0,0,10.3164,0,3.1386,3.594,12.7974,11.9213,0,4.5852,8.7804,12.2539,0,0,9.4851,6.678,1.8483,4.289,6.2196,9.8611,0,10.5816,5.6746,14.1688,0,6.3657,6.7934,0,3.8314,5.4394,9.5814,0,9.8051,12.8573,4.2892,2.1304,7.796,11.5676,0,0.9533,3.0251,3.2939,9.824,11.0125,0.4895,12.9755,5.3429,16.2493,9.7334,0.7531,11.4995,10.8468,1.0573,2.0092,13.6129,10.2253,2.6523,3.1907,9.146,14.6083,5.3445,8.1881,15.0867,0.901,11.7768,3.5775,0,0,7.4292,10.3116,1.5962,2.5503,0.8217,2.7097,8.9062,7.2827,5.2719,5.7616,0.7415,3.5878,2.2703,0,7.4529,3.1496,14.5867,12.5306,0.999,4.6449,7.91,12.7236,3.56,6.8871,8.7874,13.4117,0,0.8559,0.847,1.0917,0,0,3.0859,2.9423,1.4076,2.0936,0,0,0,0,0,0,0,2.8514,1.0146,0,0,0,4.9703,0,1.4427,0,0,0,0,0,0.9886,0,3.8593,3.0531,0,1.4749,0,0,0,0,1.6337,0,0,2.6031,0,4.7333,1.162,3.3282,0,2.6793
