"gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene1",351,275,165,654,480,228
"Gene2",30,26,57,114,159,186
"Gene3",63,52,116,309,303,183
"Gene4",21,19,28,105,75,51
"Gene5",76,36,62,258,138,147
"Gene6",22,49,47,111,111,78
"Gene7",320,257,230,384,777,816
"Gene8",54,74,67,156,183,270
"Gene9",30,17,28,66,84,96
"Gene10",19,22,20,30,42,24
"Gene11",83,419,136,546,753,339
"Gene12",148,105,97,780,495,387
"Gene13",75,108,184,339,312,606
"Gene14",109,71,64,324,228,426
"Gene15",189,100,146,630,252,507
"Gene16",27,36,54,63,204,54
"Gene17",35,62,30,162,231,249
"Gene18",162,195,396,492,573,1101
"Gene19",174,239,295,1152,270,762
"Gene20",125,119,34,117,327,318
"Gene21",100,38,61,198,336,348
"Gene22",64,59,42,195,186,108
"Gene23",5,6,2,18,12,21
"Gene24",37,25,27,57,270,111
"Gene25",135,81,93,435,252,111
"Gene26",165,96,261,327,216,381
"Gene27",124,148,133,444,444,213
"Gene28",20,51,18,72,189,168
"Gene29",36,49,21,90,156,102
"Gene30",30,17,45,99,78,90
"Gene31",70,67,150,432,360,297
"Gene32",51,31,58,195,144,147
"Gene33",72,63,46,237,297,315
"Gene34",39,47,87,126,66,150
"Gene35",90,124,103,42,138,294
"Gene36",9,15,15,33,27,45
"Gene37",115,164,136,246,471,330
"Gene38",20,33,25,69,48,135
"Gene39",205,234,137,534,285,315
"Gene40",95,91,40,228,126,387
"Gene41",99,78,101,195,225,222
"Gene42",34,47,30,84,117,126
"Gene43",150,141,335,684,555,354
"Gene44",181,110,104,414,486,279
"Gene45",78,63,100,180,192,255
"Gene46",57,100,52,234,462,177
"Gene47",152,165,181,396,345,543
"Gene48",54,96,78,207,249,291
"Gene49",83,159,196,489,462,417
"Gene50",24,62,48,147,81,144
"Gene51",98,170,75,345,294,210
"Gene52",115,167,168,789,630,477
"Gene53",28,15,30,123,153,123
"Gene54",74,95,45,216,270,252
"Gene55",118,311,223,342,501,453
"Gene56",104,61,29,270,171,408
"Gene57",15,14,14,60,27,39
"Gene58",19,27,32,42,60,54
"Gene59",70,145,83,261,318,108
"Gene60",151,243,130,363,474,471
"Gene61",844,976,1344,193,133,142
"Gene62",56,76,76,32,24,25
"Gene63",520,308,288,70,119,142
"Gene64",240,240,328,119,61,96
"Gene65",148,40,100,7,23,45
"Gene66",368,808,216,117,77,67
"Gene67",164,360,232,103,77,78
"Gene68",64,128,20,30,31,21
"Gene69",264,196,296,42,84,67
"Gene70",96,124,88,22,23,70
"Gene71",220,268,204,45,63,79
"Gene72",72,84,60,24,4,35
"Gene73",580,680,572,134,55,96
"Gene74",844,872,668,106,224,156
"Gene75",104,156,268,40,53,28
"Gene76",292,348,308,107,162,80
"Gene77",492,680,952,143,124,122
"Gene78",220,112,256,43,37,56
"Gene79",648,308,264,142,99,93
"Gene80",272,448,240,77,62,140
"Gene81",172,332,264,195,41,86
"Gene82",828,1064,912,279,221,518
"Gene83",648,356,508,127,180,303
"Gene84",96,92,48,33,42,42
"Gene85",160,140,256,88,78,80
"Gene86",1108,984,1532,293,221,366
"Gene87",620,492,384,89,199,129
"Gene88",548,884,832,160,276,202
"Gene89",156,104,168,12,43,41
"Gene90",620,944,1484,345,306,216
"Gene91",648,296,328,108,101,66
"Gene92",116,68,56,24,10,10
"Gene93",232,256,344,30,133,83
"Gene94",524,520,928,165,241,197
"Gene95",836,632,824,210,129,373
"Gene96",68,72,60,22,32,13
"Gene97",144,64,40,17,14,18
"Gene98",172,176,88,54,52,26
"Gene99",348,272,224,39,65,62
"Gene100",116,108,72,28,26,15
"Gene101",188,189,76,131,309,267
"Gene102",51,56,55,46,36,26
"Gene103",98,137,64,67,127,62
"Gene104",178,236,227,125,255,286
"Gene105",21,15,27,22,11,20
"Gene106",281,101,292,240,129,144
"Gene107",190,196,202,195,87,96
"Gene108",97,90,65,128,128,138
