"Gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8"
"GENE001",5.1,5.3,5.0,5.2,8.1,8.3,8.0,8.2
"GENE002",3.2,3.0,3.1,3.3,7.2,7.0,7.1,7.3
"GENE003",6.1,6.3,6.0,6.2,2.1,2.3,2.0,2.2
"GENE004",4.5,4.7,4.4,4.6,9.5,9.7,9.4,9.6
"GENE005",2.1,2.0,2.2,2.1,5.1,5.0,5.2,5.1
"GENE006",7.3,7.1,7.2,7.4,3.3,3.1,3.2,3.4
"GENE007",1.5,1.7,1.4,1.6,6.5,6.7,6.4,6.6
"GENE008",8.2,8.0,8.1,8.3,4.2,4.0,4.1,4.3
"GENE009",3.8,3.6,3.7,3.9,1.8,1.6,1.7,1.9
"GENE010",6.5,6.7,6.4,6.6,9.5,9.7,9.4,9.6
"GENE011",2.3,2.1,2.2,2.4,7.3,7.1,7.2,7.4
"GENE012",5.6,5.4,5.5,5.7,3.6,3.4,3.5,3.7
"GENE013",4.1,4.3,4.0,4.2,8.1,8.3,8.0,8.2
"GENE014",7.8,7.6,7.7,7.9,2.8,2.6,2.7,2.9
"GENE015",1.2,1.0,1.1,1.3,5.2,5.0,5.1,5.3
"GENE016",9.1,9.3,9.0,9.2,6.1,6.3,6.0,6.2
"GENE017",3.5,3.3,3.4,3.6,1.5,1.3,1.4,1.6
"GENE018",6.8,6.6,6.7,6.9,8.8,8.6,8.7,8.9
"GENE019",2.7,2.5,2.6,2.8,4.7,4.5,4.6,4.8
"GENE020",5.9,5.7,5.8,6.0,2.9,2.7,2.8,3.0
"GENE021",4.4,4.2,4.3,4.5,7.4,7.2,7.3,7.5
"GENE022",8.5,8.3,8.4,8.6,5.5,5.3,5.4,5.6
"GENE023",1.8,1.6,1.7,1.9,3.8,3.6,3.7,3.9
"GENE024",7.0,7.2,6.9,7.1,9.0,9.2,8.9,9.1
"GENE025",3.9,3.7,3.8,4.0,6.9,6.7,6.8,7.0
"GENE026",6.2,6.0,6.1,6.3,1.2,1.0,1.1,1.3
"GENE027",2.5,2.3,2.4,2.6,8.5,8.3,8.4,8.6
"GENE028",5.3,5.1,5.2,5.4,3.3,3.1,3.2,3.4
"GENE029",4.7,4.5,4.6,4.8,2.7,2.5,2.6,2.8
"GENE030",7.5,7.3,7.4,7.6,5.5,5.3,5.4,5.6
