gene,score
CDK2,5
CDK4,4.98726114649681
CDK6,4.97452229299363
CDK7,4.96178343949045
CDKN1A,4.94904458598726
CDKN1B,4.93630573248408
STAG1,4.92356687898089
CDKN1C,4.91082802547771
CDKN2A,4.89808917197452
CDKN2B,4.88535031847134
CDKN2C,4.87261146496815
CDKN2D,4.85987261146497
ANAPC10,4.84713375796178
NDC80,4.8343949044586
MAD2L2,4.82165605095541
STAG2,4.80891719745223
PTTG2,4.79617834394904
GADD45G,4.78343949044586
DBF4,4.77070063694268
YWHAQ,4.75796178343949
CHEK1,4.74522292993631
CHEK2,4.73248407643312
CDCA5,4.71974522292994
ESCO1,4.70700636942675
ANAPC16,4.69426751592357
CREBBP,4.68152866242038
SGO1,4.6687898089172
ESCO2,4.65605095541401
GADD45A,4.64331210191083
DDX11,4.63057324840764
CDC14C,4.61783439490446
E2F1,4.60509554140127
E2F2,4.59235668789809
E2F3,4.5796178343949
E2F4,4.56687898089172
E2F5,4.55414012738853
EP300,4.54140127388535
PDS5B,4.52866242038217
WAPL,4.51592356687898
PDS5A,4.5031847133758
MAU2,4.49044585987261
ORC6,4.47770700636943
ORC3,4.46496815286624
CDC26,4.45222929936306
ABL1,4.43949044585987
NIPBL,4.42675159235669
ANAPC13,4.4140127388535
ANAPC15,4.40127388535032
FBXO5,4.38853503184713
MTBP,4.37579617834395
SMC1B,4.36305732484076
SFN,4.35031847133758
GSK3B,4.3375796178344
ANAPC2,4.32484076433121
ANAPC4,4.31210191082803
HDAC1,4.29936305732484
HDAC2,4.28662420382166
MAD2L1,4.27388535031847
SMAD2,4.26114649681529
SMAD3,4.2484076433121
SMAD4,4.23566878980892
MCM2,4.22292993630573
MCM3,4.21019108280255
MCM4,4.19745222929936
MCM5,4.18471337579618
MCM6,4.17197452229299
MCM7,4.15923566878981
MDM2,4.14649681528662
MYC,4.13375796178344
GADD45B,4.12101910828025
ATM,4.10828025477707
WEE2,4.09554140127389
ORC1,4.0828025477707
ORC2,4.07006369426752
ORC4,4.05732484076433
ORC5,4.04458598726115
PCNA,4.03184713375796
FZR1,4.01910828025478
ANAPC5,4.00636942675159
ANAPC7,3.99363057324841
ANAPC11,3.98089171974522
PLK1,3.96815286624204
ATR,3.95541401273885
ATRX,3.94267515923567
PPP2CA,3.92993630573248
PPP2CB,3.9171974522293
PPP2R1A,3.90445859872611
PPP2R1B,3.89171974522293
PPP2R5A,3.87898089171975
PPP2R5B,3.86624203821656
PPP2R5C,3.85350318471338
PPP2R5D,3.84076433121019
PPP2R5E,3.82802547770701
HDAC8,3.81528662420382
PRKDC,3.80254777070064
KNL1,3.78980891719745
RAD21,3.77707006369427
RB1,3.76433121019108
RBL1,3.7515923566879
RBL2,3.73885350318471
CCND1,3.72611464968153
ANAPC1,3.71337579617834
SKP1,3.70063694267516
SKP2,3.68789808917197
BUB1,3.67515923566879
BUB1B,3.6624203821656
TFDP1,3.64968152866242
TFDP2,3.63694267515924
TGFB1,3.62420382165605
TGFB2,3.61146496815287
TGFB3,3.59872611464968
TP53,3.5859872611465
TTK,3.57324840764331
WEE1,3.56050955414013
YWHAB,3.54777070063694
YWHAE,3.53503184713376
YWHAG,3.52229299363057
