"Sample","GENE001","GENE002","GENE003","GENE004","GENE005","GENE006","GENE007","GENE008","GENE009","GENE010"
"S01",5.1,3.2,6.1,4.5,2.1,7.3,1.5,8.2,3.8,6.5
"S02",5.3,3.0,6.3,4.7,2.0,7.1,1.7,8.0,3.6,6.7
"S03",5.0,3.1,6.0,4.4,2.2,7.2,1.4,8.1,3.7,6.4
"S04",5.2,3.3,6.2,4.6,2.1,7.4,1.6,8.3,3.9,6.6
"S05",8.1,7.2,2.1,9.5,5.1,3.3,6.5,4.2,1.8,9.5
"S06",8.3,7.0,2.3,9.7,5.0,3.1,6.7,4.0,1.6,9.7
"S07",8.0,7.1,2.0,9.4,5.2,3.2,6.4,4.1,1.7,9.4
"S08",8.2,7.3,2.2,9.6,5.1,3.4,6.6,4.3,1.9,9.6
"S09",6.1,4.2,4.1,5.5,3.1,5.3,3.5,6.2,2.8,7.5
"S10",6.3,4.0,4.3,5.7,3.0,5.1,3.7,6.0,2.6,7.7
"S11",6.0,4.1,4.0,5.4,3.2,5.2,3.4,6.1,2.7,7.4
"S12",6.2,4.3,4.2,5.6,3.1,5.4,3.6,6.3,2.9,7.6
