gene,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
MODA_01,9.5412,7.7674,2.6868,6.2110,6.9282,8.6290,11.4400,6.1802,3.5135,4.5993,10.6534,7.1092,6.8967,9.9664,6.2586,8.6996,4.9176,3.1424,2.8766,6.3936,3.0028,10.9045,3.4833,3.8270,5.5682,9.2733,3.4017,3.6766,7.0573,8.2435,8.5480,4.1822,7.5575,5.8267,-0.1845,5.6940,5.4336,5.6931,5.6236,7.7656
MODA_02,8.4636,7.2694,3.2676,5.8665,4.8436,5.9632,8.5024,4.4308,3.6117,5.4093,8.1471,5.2785,6.5271,7.5461,5.7079,7.5003,5.2152,3.7999,3.3985,6.0174,3.3595,8.9164,3.9856,4.1598,4.6314,7.5991,3.0685,5.2582,5.7393,6.0528,6.8660,4.1803,5.6843,3.9276,0.5714,5.3470,4.3260,5.9487,5.0396,6.4165
MODA_03,7.9650,7.9802,4.5116,6.1692,7.1270,8.7126,9.2244,6.0831,4.5228,6.6323,9.4184,6.2433,7.9496,8.7418,6.9815,8.4241,5.9465,4.3131,3.2593,6.4399,4.2245,8.9313,5.2041,3.0149,5.6330,7.6371,4.9818,4.9527,6.6186,8.3861,8.4543,4.7114,6.1293,7.0103,3.1694,6.7229,7.1326,5.6241,6.2975,7.3845
MODA_04,8.9025,6.5962,3.0817,5.6418,6.7050,8.5624,10.5057,4.0731,3.3572,3.6113,9.5452,4.6131,6.8697,10.1659,5.2521,8.4938,5.0775,2.7612,1.9547,6.8865,3.9726,10.9077,3.6953,3.6825,5.5824,7.8500,3.0733,3.3426,7.0382,6.4316,9.3541,4.2326,5.7788,4.7801,0.2959,5.8965,4.3746,5.8150,4.6270,7.1890
MODA_05,7.9555,6.7334,4.6842,5.1405,6.3505,8.0198,8.5782,6.1562,4.0584,3.5945,8.1655,7.0595,5.8400,8.5068,6.2064,8.4725,5.3736,3.9814,4.5840,6.8831,3.4881,9.6793,3.5152,3.3739,5.3472,8.6061,3.6189,4.3603,7.0229,6.3663,7.7097,4.6688,6.8823,5.1495,1.1486,5.3623,5.0974,6.5020,5.7264,6.7755
MODA_06,9.3755,7.3712,3.5715,6.6821,8.7028,7.9483,10.9299,5.0739,4.2066,4.6498,10.8491,6.0662,7.2095,9.5675,6.3995,9.8637,5.5769,4.9225,2.3987,8.8666,3.4924,10.8792,4.6169,4.3879,6.1517,8.3384,3.2428,4.9058,5.6577,8.3472,9.9261,4.5613,7.4437,6.7033,0.5653,6.4695,5.6004,6.3967,7.1305,8.6838
MODA_07,10.5455,7.4605,2.3518,5.3197,6.3063,7.3740,11.0823,6.3527,3.6922,5.0251,10.3143,6.6251,6.7562,9.3867,5.4057,8.4033,5.0051,2.8745,1.9137,6.8155,1.1991,10.7730,2.3751,2.9261,4.7484,8.7572,3.1193,4.5071,6.6656,8.0104,9.3908,3.1764,7.1962,4.6913,-0.4339,6.7355,5.5040,5.8413,5.1902,8.6629
MODA_08,9.6696,7.2151,3.4573,5.5095,5.7102,8.0224,10.9963,6.3674,2.6332,4.4413,9.6607,4.6871,5.9957,8.5878,5.8092,8.3154,5.2037,3.6163,2.5560,6.3750,2.2191,10.3192,4.4051,3.9125,5.0207,8.1108,2.3203,3.3557,5.8793,6.9999,8.1456,4.9424,6.8966,3.8530,0.4197,4.9416,4.7622,4.8858,3.5532,7.9616
MODA_09,9.1270,7.2308,3.9467,5.7540,7.6349,9.3140,11.0477,5.3096,3.9875,5.4516,8.5605,6.0704,6.9226,8.8598,6.5940,8.8000,5.9353,5.0715,3.8231,7.1785,4.7073,10.6137,5.4680,4.1960,6.0902,8.7453,5.0722,4.7346,6.6125,7.4175,8.9767,5.0246,7.0564,5.9022,2.0708,5.8659,5.9402,6.2893,6.4165,7.8518
MODA_10,10.3724,7.6114,3.7119,6.2354,7.0111,8.1974,10.8653,6.7209,3.3125,4.8775,10.6703,7.5544,7.8300,9.4853,6.8201,9.4688,6.9159,3.8893,1.7874,7.1906,4.4979,11.5480,4.2230,3.9474,5.1365,9.7487,3.2647,4.6920,6.8482,7.6433,9.4238,5.6272,7.6856,6.3644,0.5392,6.6537,6.4915,5.9804,5.6159,9.3439
