"gene","log2FC","pvalue","padj"
"GENE001",2.45,0.00001,0.000125
"GENE002",-3.12,0.000003,0.00005
"GENE003",1.89,0.0002,0.00125
"GENE004",-2.05,0.00008,0.000625
"GENE005",0.42,0.35,0.4375
"GENE006",3.67,0.000001,0.000025
"GENE007",-1.23,0.001,0.004167
"GENE008",0.15,0.78,0.78
"GENE009",2.89,0.00005,0.0005
"GENE010",-2.78,0.00002,0.000208
"GENE011",1.05,0.012,0.025
"GENE012",-0.89,0.08,0.133333
"GENE013",4.12,0.0000005,0.000025
"GENE014",-3.45,0.000008,0.000125
"GENE015",0.67,0.21,0.291667
"GENE016",1.56,0.003,0.009375
"GENE017",-2.34,0.0001,0.000694
"GENE018",0.23,0.65,0.706522
"GENE019",2.67,0.00007,0.000625
"GENE020",-1.78,0.0009,0.004091
"GENE021",3.21,0.000004,0.00005
"GENE022",-2.98,0.00003,0.000268
"GENE023",0.89,0.14,0.205882
"GENE024",1.34,0.008,0.018182
"GENE025",-0.45,0.42,0.5
